Token,I felt scared when I played the game [Strongly disagree],I felt scared when I played the game [Disagree],I felt scared when I played the game [Neutral],I felt scared when I played the game [Agree],I felt scared when I played the game [Strongly agree],I lost track of where I was when I played the game. [Strongly disagree],I lost track of where I was when I played the game. [Disagree],I lost track of where I was when I played the game. [Neutral],I lost track of where I was when I played the game. [Agree],I lost track of where I was when I played the game. [Strongly agree],I felt different when I was playing the game [Strongly disagree],I felt different when I was playing the game [Disagree],I felt different when I was playing the game [Neutral],I felt different when I was playing the game [Agree],I felt different when I was playing the game [Strongly agree],Time seemed to stand still or stop as I played the game. [Strongly disagree],Time seemed to stand still or stop as I played the game. [Disagree],Time seemed to stand still or stop as I played the game. [Neutral],Time seemed to stand still or stop as I played the game. [Agree],Time seemed to stand still or stop as I played the game. [Strongly agree],I felt spaced out as I played the game. [Strongly disagree],I felt spaced out as I played the game. [Disagree],I felt spaced out as I played the game. [Neutral],I felt spaced out as I played the game. [Agree],I felt spaced out as I played the game. [Strongly agree],I didn't answer when someone talked to me during the game. [No],I didn't answer when someone talked to me during the game. [Maybe No],I didn't answer when someone talked to me during the game. [Maybe],I didn't answer when someone talked to me during the game. [Maybe Yes],I didn't answer when someone talked to me during the game. [Yes],I couldn't tell if I was getting tired [No],I couldn't tell if I was getting tired [Maybe No],I couldn't tell if I was getting tired [Maybe],I couldn't tell if I was getting tired [Maybe Yes],I couldn't tell if I was getting tired [Yes],If someone talked to me during the game I didn't hear. [No],If someone talked to me during the game I didn't hear. [Maybe No],If someone talked to me during the game I didn't hear. [Maybe],If someone talked to me during the game I didn't hear. [Maybe Yes],If someone talked to me during the game I didn't hear. [Yes],I felt like I couldn't stop playing. [Strongly disagree],I felt like I couldn't stop playing. [Disagree],I felt like I couldn't stop playing. [Neutral],I felt like I couldn't stop playing. [Agree],I felt like I couldn't stop playing. [Strongly agree],The game felt real. [Strongly disagree],The game felt real. [Disagree],The game felt real. [Neutral],The game felt real. [Agree],The game felt real. [Strongly agree],I got wound up as I played the game. [Strongly disagree],I got wound up as I played the game. [Disagree],I got wound up as I played the game. [Neutral],I got wound up as I played the game. [Agree],I got wound up as I played the game. [Strongly agree],Playing seemed automatic. [Strongly disagree],Playing seemed automatic. [Disagree],Playing seemed automatic. [Neutral],Playing seemed automatic. [Agree],Playing seemed automatic. [Strongly agree],I played without thinking how to play. [Strongly disagree],I played without thinking how to play. [Disagree],I played without thinking how to play. [Neutral],I played without thinking how to play. [Agree],I played without thinking how to play. [Strongly agree],Playing made me feel calm. [Strongly disagree],Playing made me feel calm. [Disagree],Playing made me feel calm. [Neutral],Playing made me feel calm. [Agree],Playing made me feel calm. [Strongly agree],Things seemed to happen automatically. [Strongly disagree],Things seemed to happen automatically. [Disagree],Things seemed to happen automatically. [Neutral],Things seemed to happen automatically. [Agree],Things seemed to happen automatically. [Strongly agree],My thoughts went fast as I played the game. [Strongly disagree],My thoughts went fast as I played the game. [Disagree],My thoughts went fast as I played the game. [Neutral],My thoughts went fast as I played the game. [Agree],My thoughts went fast as I played the game. [Strongly agree],I played longer than I meant to. [Strongly disagree],I played longer than I meant to. [Disagree],I played longer than I meant to. [Neutral],I played longer than I meant to. [Agree],I played longer than I meant to. [Strongly agree],I lost track of the time. [Strongly disagree],I lost track of the time. [Disagree],I lost track of the time. [Neutral],I lost track of the time. [Agree],I lost track of the time. [Strongly agree],I really got into the game. [Strongly disagree],I really got into the game. [Disagree],I really got into the game. [Neutral],I really got into the game. [Agree],I really got into the game. [Strongly agree],Please tell us three things that you liked least about the game [Dislike 1],Please tell us three things that you liked least about the game [Dislike 2],Please tell us three things that you liked least about the game [Dislike 3],Please tell us three things that you liked most about the game. [Like 1],Please tell us three things that you liked most about the game. [Like 2],Please tell us three things that you liked most about the game. [Like 3]
414000240,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Bleeding ,Die too fast,Ability to get lost easily ,Fun,Different levels of armor ,Background music 
412002118,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,not my type of game,didnt have a clear objective ,dont like the landscape,i killed supposedly evil beings,life came back up ,and power ups look cool
413001959,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,the monsters destroyed me,greedy players taking all the armor,I disconnected and fell behind my peers,I was so hard at it,I could steal people's spoils,I could bait my friend's into fighting strong monsters and dying :)
413000381,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,not starting over from last location,some mobs was too strong,mobs too fast,easy to play,multiplayer,can help friends
413000771,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,combat system,graphics,no inventory,simplicity,achievements,icons
412001141,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,didn't know what to do,grapics,died too fast,killing,achievements,simplicity
413002549,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Creeps chased you down to end of the earth,Could not open chests,Creeps to strong,Open world so more freedom,Was RPG like so i got to kill creeps,multiple weapons to use
413000513,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,point and click,no mini map,disconnecting,playing with students in class,the fact that it was online,the chat feature
410000751,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No map,no story mode,died to easily,free open world,teaming up with other players,wide environment and characters to defeat
413001265,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,I want a backpack to save potions. ,Give me better armor. ,I need special abilities. ,It was entertaining at most parts.,The NPC's(non player characters) were interactive.,It kept me on my toes as I played. 
411002471,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No minimap,Point and click,Disconnection,Playing with other students in the class.,The ability to chat,It was online
414000258,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,you die too quickly,n/a,n/a,it is fun,you get to kill things,n/a
413001905,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,glitch monsters,nothing,nothing,exploring ,equipment ,achievements
412001253,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,not enough armor around,damage was not strong enough,i died to fast,it was fast paced,it was fun,the space was large
411002719,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,kinda boring,.,.,.,.,.
414001109,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Didnt die to fast,{filler},{filler},The game felt really easy,{filler},{filler}
410001849,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,..,..,..,no disease effect/automatic health loss,..,..
413000033,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,nothing,weapons,talking to people,wasted time,made me sleepy,the music
411002904,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,no music,killing is hard,no food,game play,weapons,graphics
414000196,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,died too fast,food is to hard to find,why does my life goo so fast,it sporty,good laughter,makes you think fast
413002668,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Enemies followed for too long,Items did not respawn,No Instructions or aim,Cool look,Earning loot is fun,Good sense of exploration
414000734,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,when responding enemies surrounded,too many enemies attacked at once,.,it was easy to play,still hard enough to be interesting ,many different swords and armours
411000943,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,lost of hp ratio,mob aggro advantage,attacked mobs spawn on you after revival,no learning curve,trial and error,seeningly expansive
